Date,Natural Gas Price,Crude Oil Price,US Dollar Index,GDP,Natural Gas Production,Net Imports,Natural Gas Consumption,US total natural gas proved reserves (trillion cubic feet)
2008-07-01,9.119,124.08,73.23,14865.701,16.61637,2.47779,18.23885,247.78900000000002
2008-08-01,7.943,115.46,77.38,14865.701,17.1672,2.28172,15.773950000000001,247.78900000000002
2008-09-01,7.438,100.64,79.45,14865.701,16.814690000000002,2.25217,16.04908,247.78900000000002
2008-10-01,6.783,67.81,85.63,14898.999,17.69052,2.5946499999999997,17.1014,247.78900000000002
2008-11-01,6.51,54.43,86.52,14898.999,17.43909,2.6150599999999997,16.8374,247.78900000000002
2008-12-01,5.622,44.6,81.15,14898.999,14.886199999999999,2.5853800000000002,14.60035,247.78900000000002
2009-01-01,4.417,41.68,85.83,14608.208,16.75027,2.5448500000000003,16.350440000000003,247.78900000000002
2009-02-01,4.198,44.76,88.17,14608.208,16.78551,2.29821,18.68435,255.035
2009-03-01,3.776,49.66,85.51,14608.208,17.444580000000002,2.58761,23.994130000000002,255.035
2009-04-01,3.373,51.12,84.82,14430.901,17.81981,2.4375999999999998,27.29697,255.035
2009-05-01,3.835,66.31,79.23,14430.901,16.24266,2.18326,23.31768,255.035
2009-06-01,3.835,69.89,80.16,14430.901,17.86352,2.2146600000000003,21.70514,255.035
2009-07-01,3.653,69.45,78.35,14381.236,16.98876,2.41832,17.41243,255.035
2009-08-01,2.977,69.96,78.17,14381.236,17.56127,1.8872,15.04992,255.035
2009-09-01,4.841,70.61,76.65,14381.236,17.072210000000002,2.1571100000000003,15.2841,255.035
2009-10-01,5.045,77.0,76.3,14448.882,17.413320000000002,2.40443,16.5905,255.035
2009-11-01,4.848,77.28,74.78,14448.882,17.55132,2.5809300000000004,17.373350000000002,255.035
2009-12-01,5.572,79.36,77.86,14448.882,16.51952,2.2324,15.74901,255.035
2010-01-01,5.131,72.89,79.46,14651.248,17.29056,1.95032,16.66078,255.035
2010-02-01,4.813,79.66,80.36,14651.248,16.74378,1.9802600000000001,17.75166,255.035
2010-03-01,3.869,83.76,81.07,14651.248,17.17182,2.3435400000000004,24.909250000000004,283.879
2010-04-01,3.92,86.15,81.87,14764.611,17.37233,2.91015,28.09788,283.879
2010-05-01,4.341,73.97,86.59,14764.611,16.0269,2.3630400000000003,24.8095,283.879
2010-06-01,4.616,75.63,86.02,14764.611,17.75686,2.19195,21.429250000000003,283.879
2010-07-01,4.923,78.95,81.54,14980.193,17.26918,2.22526,16.91813,283.879
2010-08-01,3.816,71.92,83.2,14980.193,17.96596,2.1207599999999998,16.172739999999997,283.879
2010-09-01,3.872,79.97,78.72,14980.193,17.166130000000003,1.9222000000000001,16.495150000000002,283.879
2010-10-01,4.038,81.43,77.27,15141.605,18.05745,2.42803,18.25828,283.879
2010-11-01,4.18,84.11,81.19,15141.605,18.26614,2.20737,18.78926,283.879
2010-12-01,4.405,91.38,79.03,15141.605,17.7237,2.02043,16.37491,283.879
2011-01-01,4.42,92.19,77.73,15309.471,18.62916,1.9876900000000002,16.64938,283.879
2011-02-01,4.037,96.97,76.89,15309.471,18.02484,1.4962799999999998,19.732940000000003,283.879
2011-03-01,4.389,106.72,75.86,15309.471,18.8964,2.16652,27.14054,283.879
2011-04-01,4.698,113.93,72.93,15351.444,18.60566,2.36198,28.8864,317.647
2011-05-01,4.666,102.7,74.64,15351.444,16.47326,1.86139,24.52403,317.647
2011-06-01,4.374,95.42,74.3,15351.444,19.07851,1.71048,22.30493,317.647
2011-07-01,4.145,95.7,73.9,15557.535,18.68299,1.5156299999999998,18.25023,317.647
2011-08-01,4.054,88.81,74.12,15557.535,19.348499999999998,1.3945500000000002,16.67396,317.647
2011-09-01,3.666,79.2,78.55,15557.535,18.62207,1.4714699999999998,16.57334,317.647
2011-10-01,3.934,93.19,76.17,15647.681,19.3685,1.80197,18.905150000000003,317.647
2011-11-01,3.55,100.36,78.38,15647.681,19.595480000000002,1.6888,18.91783,317.647
2011-12-01,2.989,98.83,80.18,15647.681,18.93345,1.25102,16.55634,317.647
2012-01-01,2.503,98.48,79.29,15842.267,20.18734,1.7264599999999999,17.44454,317.647
2012-02-01,2.616,107.07,78.74,15842.267,19.78161,1.21309,20.318720000000003,317.647
2012-03-01,2.126,103.02,79.0,15842.267,20.34141,1.63359,25.41878,317.647
2012-04-01,2.285,104.87,78.78,16068.824,20.462680000000002,1.50667,27.561799999999998,317.647
2012-05-01,2.422,86.53,83.04,16068.824,18.768150000000002,1.39731,25.00654,348.809
2012-06-01,2.824,84.96,81.63,16068.824,20.13944,1.23987,21.27761,348.809
2012-07-01,3.209,88.06,82.64,16207.13,19.434369999999998,1.19868,19.53071,348.809
2012-08-01,2.799,96.47,81.21,16207.13,20.16486,1.26044,18.73835,348.809
